Date : 2025-11-24 11:58:06
Directory : d:\Aldhaf\hr_odoo
Total : 195 files,  14941 codes, 987 comments, 1679 blanks, all 17607 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
+------------+------------+------------+------------+------------+------------+
| Dart       |        141 |     12,773 |        785 |      1,264 |     14,822 |
| d:\Aldhaf\hr_odoo\lib\module\dashboard\widget\summary_card.dart                                         | Dart       |         34 |          0 |          1 |         35 |
| d:\Aldhaf\hr_odoo\lib\module\dashboard\widget\swipe_attendance_button.dart                              | Dart       |        135 |          3 |          9 |        147 |
| d:\Aldhaf\hr_odoo\lib\module\dashboard\widget\today_attendance_card.dart                                | Dart       |        226 |         15 |         10 |        251 |
| d:\Aldhaf\hr_odoo\lib\module\dashboard\widget\user_info_header.dart                                     | Dart       |         68 |          5 |          7 |         80 |
| d:\Aldhaf\hr_odoo\lib\module\dashboard\widget\working_hours_chart.dart                                  | Dart       |        150 |          3 |         11 |        164 |
| d:\Aldhaf\hr_odoo\lib\module\debug\controller\debug_controller.dart                                     | Dart       |         16 |          0 |          5 |         21 |
| d:\Aldhaf\hr_odoo\lib\module\debug\view\debug_view.dart                                                 | Dart       |         72 |          0 |          6 |         78 |
| d:\Aldhaf\hr_odoo\lib\module\location_detail\view\location_detail_view.dart                             | Dart       |         48 |          0 |          4 |         52 |
| d:\Aldhaf\hr_odoo\lib\module\login\binding\login_binding.dart                                           | Dart       |          9 |          0 |          2 |         11 |
| d:\Aldhaf\hr_odoo\lib\module\login\controller\login_controller.dart                                     | Dart       |        110 |         23 |         21 |        154 |
| d:\Aldhaf\hr_odoo\lib\module\login\view\login_view.dart                                                 | Dart       |        105 |          5 |          7 |        117 |
| d:\Aldhaf\hr_odoo\lib\module\main_navigation\bindings\main_navigation_binding.dart                      | Dart       |         26 |          6 |          7 |         39 |
| d:\Aldhaf\hr_odoo\lib\module\main_navigation\controller\main_navigation_controller.dart                 | Dart       |         30 |          6 |          8 |         44 |
| d:\Aldhaf\hr_odoo\lib\module\main_navigation\view\main_navigation_view.dart                             | Dart       |         83 |          2 |          6 |         91 |
| d:\Aldhaf\hr_odoo\lib\module\my_schedule\bindings\my_schedule_binding.dart                              | Dart       |         10 |          0 |          1 |         11 |
